platform,keyword,title,content,publish_time,like_count,comment_count,repost_count,url,content_clean,crawl_time
百度新闻,小米汽车,小米汽车 热销:高毛利难掩经营压力,"小米汽车 热销:高毛利难掩经营压力 2小时前 从市场表现来看, 小米汽车 上市后收获了极高关注度,市场销量持续走高,但亮眼的销售数据并未转化为盈利,反而出现销量越高、亏损规模越大的情况。透过经营数据,能够清晰看到这家入局新能源... 新浪网",,0,0,0,http://k.sina.com.cn/article_7901739543_1d6fafa1700101hgg2.html,,
百度新闻,小米汽车,AI生成 小米汽车 事故视频!多名网友道歉,"AI生成 小米汽车 事故视频!多名网友道歉 昨天17:58 6月8日,小米公司发言人发文宣布,多名网络用户就造谣小米公司公开道歉。 小米公司发言人表示,近日,小米公司分别就微博用户""超***2""(已改名)造谣小米公司员工破坏展车、抖音用户""宁***子""... 新浪财经",,0,0,0,https://finance.sina.cn/2026-06-08/detail-iniatpia8452340.d.html,,
百度新闻,小米汽车,汽车 早报|奇瑞回应“与塔塔集团相关合作” 小米 回应江西南昌一SU7...,汽车 早报|奇瑞回应“与塔塔集团相关合作” 小米 回应江西南昌一SU7... 3小时前 一辆 小米 SU7 Ultra在江西南昌起火，公司回应：初步排除电池自燃引发 @小米公司发言人 6月8日发文：6月7日，一辆小米SU7 Ultra在江西省南昌市英雄大桥起火，火情由消防部门及时控制，未... 界面新闻,,0,0,0,https://baijiahao.baidu.com/s?id=1867477424295422780&wfr=spider&for=pc,,
百度新闻,小米汽车,捏造 小米汽车 相关不实内容 两名网民被追责致歉,"捏造 小米汽车 相关不实内容 两名网民被追责致歉 昨天20:28 针对微博、抖音两名用户分别造谣小米员工破坏展车、利用AI技术生成传播 小米汽车 虚假事故视频的侵权行为,公司提前发起警方报案与行业主管部门投诉,目前两名涉事网民均被依法处置、账号禁言,并被要求公开道歉。 此次引发争议的虚假内容,来自两个不同平台的网民刻意创作... 网易",,0,0,0,https://www.163.com/dy/article/KUU7LA310556124I.html,,
百度新闻,小米汽车,海量财经丨 小米 员工破坏展车?多名网络用户就造谣公开道歉,海量财经丨 小米 员工破坏展车?多名网络用户就造谣公开道歉 昨天21:06 海报新闻记者 孙杰 报道 6月8日，小米公司发言人官方微博表示，已分别就微博用户“超***2”（已改名）造谣小米公司员工破坏展车、抖音用户“宁***子”使用AI生成虚假的 小米汽车 事故视频并传播的侵权行为向警方报案，同时向主管部门投诉。造谣网络用户手写道歉信并发布... 海报新闻,,0,0,0,https://baijiahao.baidu.com/s?id=1867434298131639401&wfr=spider&for=pc,,
百度新闻,小米汽车,小米汽车 将开拓新市场 第二品牌“寻天”主攻增程式SUV,"小米汽车 将开拓新市场 第二品牌“寻天”主攻增程式SUV 2小时前 近日,有关 小米汽车 推出第二品牌的消息在网络上曝光。新品牌英文名SKYNOMAD,中文名或为“寻天”,品牌定位低于主品牌,品牌首款增程动力的全尺寸SUV谍照随之爆出。另有消息称,“寻天”品牌... 新浪网",,0,0,0,http://k.sina.com.cn/article_7857201856_1d45362c001906g2qa.html,,
百度新闻,小米汽车,媒体: 小米汽车 驶入深水区 多车型布局与出海提速(2),"媒体: 小米汽车 驶入深水区 多车型布局与出海提速(2) 昨天14:28 媒体: 小米汽车 驶入深水区 多车型布局与出海提速(2) 海外市场成为整个行业的核心增长引擎,小米汽车计划于2027年三、四季度正式启动海外业务,路径为“先发达国家、后发展中国家,先中高端、后中端”。卢伟冰宣布2027年下半年正式开启全球化,首站落地欧洲市场;2028年上半... 中华网·新闻",,0,0,0,https://news.china.com/socialgd/10000169/20260608/49536617_1.html,,
百度新闻,小米汽车,小米 “寻天 汽车 ”最新谍照曝光!线条四平八稳,"小米 “寻天 汽车 ”最新谍照曝光!线条四平八稳 3小时前 另一组谍照中的实车则覆盖了更厚的黑布伪装,庞大身躯却依稀可见。据悉,其中一款车型将配备来自朝阳的轮胎,规格为 245/55 R19。 此前泄露的谍照则展示了车头的 小米汽车 品牌Logo轮廓,预示着“寻天”或为小米汽车旗下一独立系列的名称,尾标则清晰可见“小米寻天N90”字样。 新浪网",,0,0,0,http://k.sina.com.cn/article_7857201856_1d45362c001906g0ci.html,,
百度新闻,小米汽车,"...虚假 小米汽车 事故视频并传播,警方已对其进行处罚,并要求公开道歉","...虚假 小米汽车 事故视频并传播,警方已对其进行处罚,并要求公开道歉 昨天18:19 小米公司声明：两名网民造谣小米员工破坏展车、使用AI生成虚假 小米汽车 事故视频并传播，警方已对其进行处罚，并要求公开道歉 6月8日，@小米公司发言人微博发文称多名网络用户就造谣小米公司公开道歉，内容如下：近日，我司分别就微博用户""超***2""（已改名）造谣小米公... 鲁中晨报",,0,0,0,https://baijiahao.baidu.com/s?id=1867423646088969708&wfr=spider&for=pc,,
百度新闻,小米汽车,小米 回应南昌 汽车 起火事件:初步排除电池自燃,"小米 回应南昌 汽车 起火事件:初步排除电池自燃 昨天21:26 观点网讯:6月8日, 小米 公司发言人通报,一辆 小米 SU7 Ultra于6月7日在江西省南昌市英雄大桥起火,火情由消防部门及时控制,未造成人员伤亡。 根据公开资料,事件发生后小米第一时间联系车主,将积极配合完成后续车辆处置事宜,相关情况已向监管部门报备。 据介绍,经现场调查及... 新浪财经",,0,0,0,http://finance.sina.com.cn/stock/estate/integration/2026-06-08/doc-iniathzh5286663.shtml,,
百度新闻,小米汽车,"小米 SU7 Ultra起火,官方回应","小米 SU7 Ultra起火,官方回应 昨天20:29 小米SU7 Ultra目标是成为地表最快的四门量产车,标配赛道版散热系统、制动系统,纽北调校底盘系统,标准版就能直接上赛道。 去年2月14日, 小米汽车 官方宣布,小米SU7 Ultra以2分9秒944创纪录... 新浪财经",,0,0,0,https://finance.sina.cn/2026-06-08/detail-iniatath8621688.d.html,,
百度新闻,小米汽车,"小米 澄清:智米创始人苏峻与奇瑞合作的 汽车 业务,与小米集团无关","小米 澄清:智米创始人苏峻与奇瑞合作的 汽车 业务,与小米集团无关 昨天17:37 IT之家 4 月 7 日消息, 小米 公司今日发布声明称,智米科技创始人苏峻个人与奇瑞合作的有关 汽车 业务,与小米集团、小米生态链完全无关;另据智米科技此前声明,亦与智米科技无关。 IT之家注意... 新浪网",,0,0,0,http://k.sina.com.cn/article_7857201856_1d45362c001906egsy.html,,
百度新闻,小米汽车,深耕鲁西南智能出行新赛道| 小米汽车 济宁交付中心正式开业,"深耕鲁西南智能出行新赛道| 小米汽车 济宁交付中心正式开业 昨天14:03 6月5日, 小米汽车 (886064)济宁交付中心上午11时15分隆重开业。开业当日下午,济宁市、区多位领导专程到访门店开展实地调研、座谈交流。小米集团中国区山东分公司总经理 高铭 陪同调研并就门店运营、区域市场布局、未来发展规划进行专项工作汇报。该交付中心落地任城区,... 同花顺财经",,0,0,0,http://news.10jqka.com.cn/20260608/c677287433.shtml,,
百度新闻,小米汽车,小米汽车 5月批发3.28万辆:SU7贡献2.4万辆占比超七成,小米汽车 5月批发3.28万辆:SU7贡献2.4万辆占比超七成 昨天17:14 小米汽车 在新能源市场持续扩张的背景下，5月新能源乘用车批发销量达到135.2万辆，同比增长10.6%，环比增长10.3%。新能源月度批发销量突破万辆的厂商达到20家（同比多2家），占新能源乘... CNMO科技,,0,0,0,https://baijiahao.baidu.com/s?id=1867424517015002769&wfr=spider&for=pc,,
百度新闻,小米汽车,"小米 一季度财报出炉:千亿营收失守,股价腰斩, 汽车 能救场?","小米 一季度财报出炉:千亿营收失守,股价腰斩, 汽车 能救场? 11小时前 刚出炉的小米2026年一季度财报,给所有关注它的人浇了一盆透心凉的冷水。大家还在蹲 小米汽车 能不能成行业黑马,转头就看到核心业绩集体拉胯,连守了好几年的千亿营收线都没保住。哪怕抛出... 网易",,0,0,0,https://www.163.com/dy/article/KUUL158O055693G1.html,,
百度新闻,小米汽车,"5月轿车销量确认:前十名还剩两款燃油车, 小米汽车 准确销量确认","5月轿车销量确认:前十名还剩两款燃油车, 小米汽车 准确销量确认 58分钟前 三厢轿车的第一名实际为小米SU7，24023辆的零售销量确实非常抢眼，已经超过了排名第三的特斯拉Model 3；但如果特斯拉能够规划好产能，同时推出一些价格权益，相信依然有望实现反超，该... 天和Auto",,0,0,0,https://baijiahao.baidu.com/s?id=1867486979531426116&wfr=spider&for=pc,,
