platform,keyword,title,content,publish_time,like_count,comment_count,repost_count,url,content_clean,sentiment_score,sentiment,keywords
手机新浪网,小米SU7,小米SU7当出租_新浪新闻 - 手机新浪网,小米SU7当出租_新浪新闻 - 手机新浪网 小米SU7当出租_新浪新闻 手机新浪网,2026-06-07 04:30:00,0,0,0,https://news.google.com/rss/articles/CBMiY0FVX3lxTE5RSk9GbF9Pa2k2RkhRR0R5QjYxaDJvTlVHazVGWDRXaTZhT08yelktd0VlZGg2OUFpclQxMi1WbHJRX2dVZVh3SDZVenNvR2VfajZpRGFrTjRoX0p1VWhUYU5iUQ?oc=5,小米SU7当出租新浪新闻手机新浪网小米SU7当出租新浪新闻手机新浪网,0.9989923795956442,正面,"SU7,新浪网,小米,出租,新浪"
汽车之家,小米SU7,铂智7、SU7、Model 3雨天实测 谁更懂家庭出行 - 汽车之家,铂智7、SU7、Model 3雨天实测 谁更懂家庭出行 - 汽车之家 铂智7、SU7、Model 3雨天实测 谁更懂家庭出行 汽车之家,2026-06-07 07:45:12,0,0,0,https://news.google.com/rss/articles/CBMiW0FVX3lxTE1RSHFJdUN1SUFic0RqaXRYSFpxRmxQOWozWFdqeWFNVUFVa242S04tWWkycjR3OWlHeTlTRk9UUGpoaUhxTjBReFdzYzE0YTNIY05YNFluNlhtVkE?oc=5,铂智7、SU7、Model3雨天实测谁更懂家庭出行汽车之家铂智7、SU7、Model3雨天实测谁更懂家庭出行汽车之家,0.8991402962987967,正面,"SU7,Model3,雨天,实测,出行"
手机新浪网,小米SU7,偶遇第一代SU7绝版「流星蓝」～[酷][酷][酷] #亿点曝光计划# @小米汽车 - 手机新浪网,偶遇第一代SU7绝版「流星蓝」～[酷][酷][酷] #亿点曝光计划# @小米汽车 - 手机新浪网 偶遇第一代SU7绝版「流星蓝」～[酷][酷][酷] #亿点曝光计划# @小米汽车 手机新浪网,2026-06-07 06:40:00,0,0,0,https://news.google.com/rss/articles/CBMiY0FVX3lxTE42TFM1RzFQUGxyTG1fSV9lQzBNZGlyQTdJcmduTjFqV2pnLWVXbVpxTjk3SFNOZ19ILTZyVFphQi1YV2FLOXVvUmEwdFlNUDlBVC0tSkhOR0RCZ0RHVzFqRWpHZw?oc=5,偶遇第一代SU7绝版流星蓝酷酷酷手机新浪网偶遇第一代SU7绝版流星蓝酷酷酷手机新浪网,0.9999988966183312,正面,"酷酷,SU7,绝版,新浪网,偶遇"
中华网新闻,小米SU7,女子被小米SU7电吸门夹手指致骨折 瞬间剧痛难忍 - 中华网新闻,女子被小米SU7电吸门夹手指致骨折 瞬间剧痛难忍 - 中华网新闻 女子被小米SU7电吸门夹手指致骨折 瞬间剧痛难忍 中华网新闻,2026-06-07 05:44:22,0,0,0,https://news.google.com/rss/articles/CBMicEFVX3lxTFBiMmRxTkEyM0lQNi1LSE5FYkFwbEJDTHJPbG9lcjBFaG9VaTI4dXh2R0NmMlNjUTFzYlFnZTRCSndVRk16M0RjbFZYM0dvWnNaYlF1RmN2RUs2WlNuZVVZdXlDMmoxMGFhRWJ5MlpWclo?oc=5,女子被小米SU7电吸门夹手指致骨折瞬间剧痛难忍中华网新闻女子被小米SU7电吸门夹手指致骨折瞬间剧痛难忍中华网新闻,0.9999999874912628,正面,"SU7,电吸门,中华网,剧痛,难忍"
驱动之家,小米SU7,车窗玻璃不是越厚越好 小米科普YU7、新SU7夹层玻璃 - 驱动之家,车窗玻璃不是越厚越好 小米科普YU7、新SU7夹层玻璃 - 驱动之家 车窗玻璃不是越厚越好 小米科普YU7、新SU7夹层玻璃 驱动之家,2026-06-05 16:04:00,0,0,0,https://news.google.com/rss/articles/CBMiWEFVX3lxTFBmSjdOSVA0b29uSXp0QUllUnU5RTFKQnNTRThnLWNQWVRLbTVzMjkwRW1zbmljMzJiQWVGWEU0N2FXYkpZSXFyVzN1d3FudWFmNWxBZF9LSU0?oc=5,车窗玻璃不是越厚越好小米科普YU7、新SU7夹层玻璃驱动之家车窗玻璃不是越厚越好小米科普YU7、新SU7夹层玻璃驱动之家,0.99899551437879,正面,"夹层玻璃,越厚,YU7,SU7,驱动之家"
搜狐网,小米SU7,父亲给儿子买一辆小米SU7，说提车不到5小时，屏幕跳出一行字 - 搜狐网,父亲给儿子买一辆小米SU7，说提车不到5小时，屏幕跳出一行字 - 搜狐网 父亲给儿子买一辆小米SU7，说提车不到5小时，屏幕跳出一行字 搜狐网,2026-06-06 15:59:58,0,0,0,https://news.google.com/rss/articles/CBMiiAFBVV95cUxQTlJzRkl4WHdiTVZZZmtqdVdTOWVTdlBSSGpJZHYxQ1lVVklzeHJXRkRycVZIZWFkWVF5RHYxcDhjXzZTUjdaZHFvcnVQRDZRWVp3dzJYaWRMcWxmUFMtUTZYSkRsNUhTZjcwRFpzaEFITjJ1eWRZeElYQ19OVHNiRVo1ZHhVdENm?oc=5,父亲给儿子买一辆小米SU7，说提车不到5小时，屏幕跳出一行字搜狐网父亲给儿子买一辆小米SU7，说提车不到5小时，屏幕跳出一行字搜狐网,0.8185739330518125,正面,"SU7,提车,搜狐网,小米,屏幕"
手机新浪网,小米SU7,26-06-07 15:35 微博认证：汽车博主 - 手机新浪网,26-06-07 15:35 微博认证：汽车博主 - 手机新浪网 26-06-07 15:35 微博认证：汽车博主 手机新浪网,2026-06-07 07:35:00,0,0,0,https://news.google.com/rss/articles/CBMiY0FVX3lxTE56cFh6QlBWajZIY2RxZy1iWEJVVzNMVWFWR1RQVkFMOTJCS1pWLWRraGY5YktZZU5LcEh1d2FXaG11OTFGclZQaXBYVTk4YlUxWlN1LWsxbW4zcFVUWWJrOU1vZw?oc=5,2606071535微博认证：汽车博主手机新浪网2606071535微博认证：汽车博主手机新浪网,0.7906566071706534,正面,"2606071535,微博,博主,新浪网,认证"
手机新浪网,小米SU7,小米SU7电吸门无防夹_新浪新闻 - 手机新浪网,小米SU7电吸门无防夹_新浪新闻 - 手机新浪网 小米SU7电吸门无防夹_新浪新闻 手机新浪网,2026-06-07 00:43:00,0,0,0,https://news.google.com/rss/articles/CBMiY0FVX3lxTE5zelhtSWZqdjh3dlRUTjRQdm1oZFZjclB5OWNEQ2lUMFVzQzVtTS1zWGloUzQ4dVZvMlFIbGlzeXI5X2JsR3NiNThWVjBaQjdUVS1zX2IyZWJPZlZrUWlCTTVsdw?oc=5,小米SU7电吸门无防夹新浪新闻手机新浪网小米SU7电吸门无防夹新浪新闻手机新浪网,0.9976502866948912,正面,"SU7,电吸门,无防,新浪网,小米"
手机新浪网,小米SU7,尚界Z7销量待6月体现_新浪新闻 - 手机新浪网,尚界Z7销量待6月体现_新浪新闻 - 手机新浪网 尚界Z7销量待6月体现_新浪新闻 手机新浪网,2026-06-05 01:50:00,0,0,0,https://news.google.com/rss/articles/CBMiY0FVX3lxTE5pSzRfaGRSMW9BbU0tVmMtT3llZkNqVkNZTjVxb2Jhak02cEFRUmRRQWtvbmZRZWoxMnVYdjc5eUN5XzRsSlVMRUE0Sl9HZm1QdjZMZG9EWkNsY2ZBMkhFYlQ1aw?oc=5,尚界Z7销量待6月体现新浪新闻手机新浪网尚界Z7销量待6月体现新浪新闻手机新浪网,0.5250460055576122,中性,"尚界,Z7,新浪网,新浪,销量"
汽车之家,小米SU7,小米SU7和奥迪E5周末自驾，续航差102km该怎么选？ - 汽车之家,小米SU7和奥迪E5周末自驾，续航差102km该怎么选？ - 汽车之家 小米SU7和奥迪E5周末自驾，续航差102km该怎么选？ 汽车之家,2026-06-07 00:16:35,0,0,0,https://news.google.com/rss/articles/CBMiW0FVX3lxTE95VGg5dDVQRmoyOUFtN2dSbnFWampTVUcxTWdyTXNoV3pjVmZOY2ZRVnVyZUxNRzdJdWVDZGJvdkxpX3lkZ3N5RWNfS0xBTnpUR1JBUnQ1MWNpQ2c?oc=5,小米SU7和奥迪E5周末自驾，续航差102km该怎么选？汽车之家小米SU7和奥迪E5周末自驾，续航差102km该怎么选？汽车之家,0.989535504839701,正面,"SU7,E5,102km,自驾,续航"
